Requirement Number,Product Use Case (PUC) Number,Requirement Type,Description,Rationale,Fit Criterion,Other Related PUCs,Originator,Customer Satisfaction,Customer Dissatisfaction,Priority,Conflicts,Supporting Materials,Other Interested Stakeholders,History,Related BUC
1.0,PUC-2,12 Performance,Nhiễu nội tại của chuỗi thu điện tử phải thấp hơn nhiễu môi trường biển ít nhất 10 dB trong dải tần công tác.,Hệ thống không được là yếu tố giới hạn hiệu năng; giới hạn phải đến từ môi trường biển.,Đo nền nhiễu chuỗi thu trong bể tiêu âm hoặc thùng nước yên tĩnh; so với phổ nhiễu môi trường đo thực địa; chênh lệch >= 10 dB theo từng dải tần.,,Charter YC-01,5,5,H,,SPEC 3.1 ngân sách nhiễu Nhóm II,Kỹ sư analog,2026-08-25 v0.3 giữ nguyên từ bản trước,BUC-1
2.0,PUC-2,12 Performance,Nhiễu tổng đo được khi phao hoạt động trong điều kiện biển thật không được vượt nhiễu môi trường quá ngưỡng quy định.,Đây là phát biểu định lượng của PoC-2 - mệnh đề khó nhất và là lý do tồn tại của vòng xoắn 1.,"CHUA CO NGUONG - chặn bởi QĐ-2. Phương pháp đã có: hiệu số giữa đo động và đo tĩnh theo SPEC 3.3, với >= 2 cấu hình treo.",,Charter YC-02,5,5,H,,SPEC 3.3 phép đo so sánh tĩnh-động,"Chief Engineer, Kỹ sư cơ khí",2026-08-25 v0.3 tạo mới - yêu cầu trung tâm của vòng xoắn; fit criterion còn trống,BUC-1
3.0,PUC-2,12 Performance,Dải tần công tác phải phủ dải tần của các nguồn âm cần phát hiện.,"Chọn sai dải tần thì không nghe được mục tiêu quan tâm, dù chuỗi thu có yên tĩnh đến đâu.",Quét đáp ứng tần số toàn chuỗi; độ phẳng trong dải đạt ngưỡng quy định.,,Charter YC-03,5,5,H,,Chờ QĐ-1,Chief Engineer,2026-08-25 v0.3; giá trị chờ QĐ-1,BUC-1
4.0,PUC-2,12 Performance,Dải động của chuỗi thu phải phủ từ mức nhiễu nền biển yên tĩnh tới mức nguồn ồn ở cự ly gần.,Giám sát thụ động không kiểm soát được mục tiêu; nguồn có thể xuất hiện bất ngờ ở cự ly gần và làm bão hoà chuỗi thu.,"Đo hai đầu dải: không bão hoà ở đầu cao, không chìm dưới nhiễu ở đầu thấp.",,Charter YC-04,5,4,H,,SPEC 3.2,Kỹ sư analog,2026-08-25 v0.3,BUC-1
5.0,PUC-2,9 Functional,Sản phẩm phải ghi liên tục tín hiệu thuỷ âm ra file mà không mất mẫu.,Dữ liệu thô là sản phẩm chính của vòng xoắn 1; mất mẫu là mất vĩnh viễn và một chuyến biển là nguồn lực khan hiếm.,"Ghi liên tục suốt một đợt triển khai và kiểm đếm: số mẫu ghi được bằng thời lượng nhân tần số lấy mẫu, sai lệch bằng không.",PUC-5,Charter CN-01,5,5,H,,SPEC 4.4 nguyên tắc ưu tiên tài nguyên,,2026-08-25 v0.3,BUC-1
6.0,PUC-3,9 Functional,Sản phẩm phải phát hiện sự kiện âm học vượt ngưỡng và ghi vào danh sách sự kiện kèm nhãn thời gian.,Phát hiện được mục tiêu thật trong dữ liệu thật là mệnh đề PoC-3.,Phát hiện được tàu đi qua trong lúc thử nghiệm; đối chiếu khớp với quan sát mắt thường hoặc AIS.,PUC-6,Charter CN-03,5,5,H,,Thuật toán chờ QĐ-7; định nghĩa sự kiện chờ QĐ-16,Kỹ sư phân tích,2026-08-25 v0.3,BUC-1
7.0,PUC-4,9 Functional,Trạm điều khiển phải hiển thị phổ tín hiệu và danh sách sự kiện theo thời gian thực.,"Đội kỹ thuật cần biết phao đang hoạt động đúng ngay trong chuyến, không chờ tới khi thu hồi mới phát hiện hỏng.","Trong lúc thử nghiệm, trạm hiển thị phổ cập nhật và danh sách sự kiện; kiểm chứng bằng cách tạo nguồn âm đã biết.",,Charter CN-02,4,4,H,,,Kỹ sư field,2026-08-25 v0.3,BUC-1
8.0,PUC-1,9 Functional,Phao phải ghi nhật ký vị trí GNSS xuyên suốt quá trình vận hành và lưu nhật ký đó trong phao.,Cần biết phao ở đâu và có trôi khỏi vị trí thả hay không; nếu mất liên lạc giữa chừng thì dữ liệu vị trí vẫn còn.,"Kiểm tra nhật ký sau chuyến: liên tục, không gián đoạn, đúng tần suất quy định.",PUC-5,Charter CN-04,4,4,H,,SPEC 4.6,,2026-08-25 v0.3,BUC-1
9.0,PUC-3,9 Functional,Phao phải báo cáo trạng thái sức khoẻ và kết quả phát hiện về trạm theo chu kỳ.,"Phát hiện hỏng hóc ngay trong chuyến thay vì sau khi thu hồi, khi đã mất cả chuyến biển.","Bản tin đến trạm đúng chu kỳ, chứa đủ các trường quy định gồm dung lượng nguồn còn lại.",PUC-4,Charter CN-05,4,5,H,,,Kỹ sư field,2026-08-25 v0.3,BUC-1
10.0,PUC-5,9 Functional,Sản phẩm phải cho phép trích xuất toàn bộ dữ liệu thô sau khi thu hồi phao qua kết nối tốc độ cao.,Đường vô tuyến không đủ băng thông cho dữ liệu thô; toàn bộ phân tích so sánh cấu hình treo dựa trên dữ liệu này.,"Trích xuất trọn vẹn dữ liệu một đợt triển khai, kiểm tra toàn vẹn không lỗi.",PUC-6,Charter CN-06,5,5,H,,SPEC 2.2 tốc độ dữ liệu,,2026-08-25 v0.3,BUC-1
11.0,PUC-5,9 Functional,Phao phải có nguồn dự phòng đủ để phát tín hiệu định vị phục vụ thu hồi sau khi nguồn chính cạn.,Mất phao là mất cả thiết bị lẫn toàn bộ dữ liệu thô chưa trích xuất.,"Thử nghiệm phóng điện: tín hiệu định vị còn hoạt động sau khi nguồn chính cạn, đủ thời lượng quy định.",,Charter CN-07,4,5,H,,RR-05,,2026-08-25 v0.3; thời lượng chờ QĐ-5,BUC-1
